Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size
Intel Core i5-6600 Processor,Launched,Q3'15,4,3.90 GHz,3.30 GHz,6 MB 
Intel Core i5-6685R Processor,Discontinued,Q2'16,4,3.80 GHz,3.20 GHz,6 MB
Intel Core i5-6600K Processor,Discontinued,Q3'15,4,3.90 GHz,3.50 GHz,6 MB 
Intel Core i5-6600T Processor,Launched,Q3'15,4,3.50 GHz,2.70 GHz,6 MB 
Intel Core i5-6585R Processor,Discontinued,Q2'16,4,3.60 GHz,2.80 GHz,6 MB
Intel Core i5-6500 Processor,Launched,Q3'15,4,3.60 GHz,3.20 GHz,6 MB 
Intel Core i5-6500T Processor,Launched,Q3'15,4,3.10 GHz,2.50 GHz,6 MB 
Intel Core i5-6500TE Processor,Launched,Q4'15,4,3.30 GHz,2.30 GHz,6 MB 
Intel Core i5-6402P Processor,Discontinued,Q4'15,4,3.40 GHz,2.80 GHz,6 MB
Intel Core i5-6400 Processor,Launched,Q3'15,4,3.30 GHz,2.70 GHz,6 MB 
Intel Core i5-6400T Processor,Launched,Q3'15,4,2.80 GHz,2.20 GHz,6 MB 
Intel Core i5-6440EQ Processor,Launched,Q4'15,4,3.40 GHz,2.70 GHz,6 MB 
Intel Core i5-6440HQ Processor,Launched,Q3'15,4,3.50 GHz,2.60 GHz,6 MB 
Intel Core i5-6442EQ Processor,Launched,Q4'15,4,2.70 GHz,1.90 GHz,6 MB 
Intel Core i5-6360U Processor,Launched,Q3'15,2,3.10 GHz,2.00 GHz,4 MB 
Intel Core i5-6350HQ Processor,Launched,Q1'16,4,3.20 GHz,2.30 GHz,6 MB 
Intel Core i5-6300HQ Processor,Launched,Q3'15,4,3.20 GHz,2.30 GHz,6 MB 
Intel Core i5-6300U Processor,Launched,Q3'15,2,3.00 GHz,2.40 GHz,3 MB 
Intel Core i5-6200U Processor,Launched,Q3'15,2,2.80 GHz,2.30 GHz,3 MB 
Intel Core i5-6260U Processor,Launched,Q3'15,2,2.90 GHz,1.80 GHz,4 MB 
Intel Core i5-6267U Processor,Launched,Q3'15,2,3.30 GHz,2.90 GHz,4 MB 
Intel Core i5-6287U Processor,Launched,Q3'15,2,3.50 GHz,3.10 GHz,4 MB 
Intel Core i3-6300 Processor,Launched,Q3'15,2,3.80 GHz,,4 MB 
Intel Core i3-6300T Processor,Launched,Q3'15,2,3.30 GHz,,4 MB 
Intel Core i3-6320 Processor,Launched,Q3'15,2,3.90 GHz,,4 MB 
Intel Core i3-6100E Processor,Launched,Q4'15,2,2.70 GHz,,3 MB 
Intel Core i3-6100H Processor,Launched,Q3'15,2,2.70 GHz,,3 MB 
Intel Core i3-6100U Processor,Launched,Q3'15,2,2.30 GHz,,3 MB 
Intel Core i3-6102E Processor,Launched,Q4'15,2,1.90 GHz,,3 MB 
Intel Core i3-6157U Processor,Launched,Q3'16,2,2.40 GHz,,3 MB 
Intel Core i3-6167U Processor,Launched,Q3'15,2,2.70 GHz,,3 MB 
Intel Core i3-6100 Processor,Launched,Q3'15,2,3.70 GHz,,3 MB 
Intel Core i3-6100T Processor,Launched,Q3'15,2,3.20 GHz,,3 MB 
Intel Core i3-6100TE Processor,Launched,Q4'15,2,2.70 GHz,,4 MB 
Intel Core i3-6006U Processor,Launched,Q4'16,2,2.00 GHz,,3 MB 
Intel Core i3-6098P Processor,Discontinued,Q4'15,2,3.60 GHz,,3 MB
Intel Core m7-6Y75 Processor,Launched,Q3'15,2,3.10 GHz,1.20 GHz,4 MB 
Intel Core m5-6Y57 Processor,Launched,Q3'15,2,2.80 GHz,1.10 GHz,4 MB 
Intel Core m5-6Y54 Processor,Launched,Q3'15,2,2.70 GHz,1.10 GHz,4 MB 
Intel Core m3-6Y30 Processor,Launched,Q3'15,2,2.20 GHz,900 MHz,4 MB 
Intel Core i7-5950HQ Processor,Launched,Q2'15,4,3.80 GHz,2.90 GHz,6 MB
Intel Core i7-5850HQ Processor,Launched,Q2'15,4,3.60 GHz,2.70 GHz,6 MB
Intel Core i7-5850EQ Processor,Launched,Q2'15,4,3.40 GHz,2.70 GHz,6 MB 
Intel Core i7-5750HQ Processor,Launched,Q2'15,4,3.40 GHz,2.50 GHz,6 MB
Intel Core i7-5700EQ Processor,Launched,Q2'15,4,3.40 GHz,2.60 GHz,6 MB 
Intel Core i7-5700HQ Processor,Launched,Q2'15,4,3.50 GHz,2.70 GHz,6 MB
Intel Core i7-5775R Processor,Discontinued,Q2'15,4,3.80 GHz,3.30 GHz,6 MB
Intel Core i7-5775C Processor,Launched,Q2'15,4,3.70 GHz,3.30 GHz,6 MB
Intel Core i7-5650U Processor,Launched,Q1'15,2,3.10 GHz,2.20 GHz,4 MB
Intel Core i7-5600U Processor,Launched,Q1'15,2,3.20 GHz,2.60 GHz,4 MB
Intel Core i7-5557U Processor,Launched,Q1'15,2,3.40 GHz,3.10 GHz,4 MB
Intel Core i7-5550U Processor,Launched,Q1'15,2,3.00 GHz,2.00 GHz,4 MB 
Intel Core i7-5500U Processor,Launched,Q1'15,2,3.00 GHz,2.40 GHz,4 MB
Intel Core i5-5675R Processor,Discontinued,Q2'15,4,3.60 GHz,3.10 GHz,4 MB
Intel Core i5-5675C Processor,Launched,Q2'15,4,3.60 GHz,3.10 GHz,4 MB
Intel Core i5-5575R Processor,Discontinued,Q2'15,4,3.30 GHz,2.80 GHz,4 MB
Intel Core i5-5350U Processor,Launched,Q1'15,2,2.90 GHz,1.80 GHz,3 MB
Intel Core i5-5350H Processor,Launched,Q2'15,2,3.50 GHz,3.10 GHz,4 MB
Intel Core i5-5300U Processor,Launched,Q1'15,2,2.90 GHz,2.30 GHz,3 MB
Intel Core i5-5287U Processor,Launched,Q1'15,2,3.30 GHz,2.90 GHz,3 MB
Intel Core i5-5257U Processor,Launched,Q1'15,2,3.10 GHz,2.70 GHz,3 MB
